messageDeleted;de;Die Meldung vom <b><i>{1}</i></b> wurde gelöscht.
messageNotDeleted;de;Die Meldung vom <b><i>{1}</i></b> konnte nicht gelöscht werden.
messageNotSentToYou;de;Die Mitteilung konnte nicht an Ihre Email-Adresse gesendet werden.
messages;de;Meldungen
monthly;de;Monatlich
newAccount;de;Neues Konto
newAlbum;de;Neues Album
newEntry;de;Neuer Eintrag
newFolder;de;Neuer Ordner
newGroup;de;Neue Gruppe
newPassword;de;Neues Passwort
newPost;de;Neuer Post
no;de;Nein
noAccess;de;Kein Zugriff
noAdminQuit;de;Sie können eine Gruppe nicht verlassen solange Sie noch Administrator der Gruppe sind.
noAlbums;de;Keine Alben
noDate;de;Ohne Datum
noDeleteWithMembers;de;Sie können eine Gruppe nicht löschen solange diese noch andere Mitglieder hat.
noEmptyName;de;Der Name darf nicht leer sein.
noEntries;de;Keine Einträge
noFiles;de;Keine Dateien / Dokumente
noGroupMemberships;de;Sie sind noch nicht Mitglied einer Gruppe.
noGuestAccessToMemberData;de;Gäste haben keinen Zugriff auf die Mitgliederdaten.
noGuestAccessToMessages;de;Gäste haben keinen Zugriff auf die Meldungen.
noImages;de;Es gibt keine Bilder in diesem Album.
noMembersSelected;de;Keine Mitglieder für diese Auswahl
none;de;Keine
noPosts;de;Keine Posts
notCreated;de;{1} konnte nicht erzeugt werden.
notLoggedIn;de;Nicht eingeloggt
oldPassword;de;Altes Passwort
onePerLine;de;1 pro Zeile
openNewAccount;de;Wenn Sie noch kein Konto haben, können Sie <a href='/{1}/newAccount'>here</a> eines eröffnen.
operatingSystem;de;Betriebssystem
optionalAccountData;de;Mitglieder können den Lesezugriff auf ihre optionalen Kontodaten einschränken.
optionalData;de;Optionale Daten
parentFolder;de;Oberordner
password;de;Passwort
passwordChanged;de;Das Passwort wurde geändert.
passwordChangeError;de;Das Passwort konnte nicht geändert werden.
passwordConfirmationError;de;Die Bestätigung stimmt nicht mit dem Passwort überein.
passwordNotSet;de;Das Passwort konnte nicht gesetzt werden.
passwordRecovery;de;Wiederherstellung des Passworts
passwordRequirement1;de;8 bis 30 Zeichen
passwordRequirement2;de;mindestens ein Klein- und ein Grossbuchstabe
passwordRequirement3;de;mindestens eine Ziffer oder ein Spezialzeichen (<span class='code'>{1}</span>)
passwordRequirements;de;Passwortanforderungen
passwordSent;de;Falls ein Konto mit dieser Email-Adresse existiert, wird nun ein temporäres Passwort gesendet.
permission;de;Berechtigung
permissions;de;Berechtigungen
picker;de;Picker
post;de;Post
postDeleted;de;Der Post <b><i>{1}</i></b> wurde gelöscht.
postNotDeleted;de;Der Post <b><i>{1}</i></b> konnte nicht gelöscht werden.
posts;de;Posts
postSaved;de;Der Post wurde gespeichert.
preview;de;Vorschau
previewTitle;de;Daten:
publish;de;Publizieren
published;de;Publiziert
publishGroupPage;de;Öffentliche Adresse der Gruppenseite
pwConfirmation;de;Passwort Bestätigung
pwResetIntro;de;Wir haben einen Passwort-Resetantrag für Ihr Konto erhalten.
pwResetIp;de;Der Request wurde von der IP-Adresse {1} gesendet.
pwResetPassword;de;Ihr temporäres Passwort lautet: {1}
pwResetSetRegular;de;Bitte setzen Sie innerhalb von {1} {2} wieder ein reguläres Passwort.
pwResetSubject;de;Temporäres Passwort für {1}
quit;de;Verlassen
quitGroup;de;Gruppe verlassen
read;de;Lesen
readAccessGroups;de;Gruppen mit Lesezugriff auf diese optionalen Daten:
readerView;de;Leseansicht
readPermissions;de;Die Leseberechtigungen für Autoreninhalte können vom Autor geändert werden. Diese Tabelle definiert die Standardeinstellung.
recurrence;de;Wiederholung
regInfo;de;Registrierungsinformationen (optional):
regInfoSaved;de;Die Registrierungsinformation wurde gespeichert.
register;de;Registrieren
